symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-07-15 00:00:00+00:00,98.78,99.3,98.5,98.92,30136990,23.1054309698,23.2270631231,23.0399367334,23.138178088,120547960,0.0,1.0
AAPL,2016-07-18 00:00:00+00:00,99.83,100.13,98.6,98.7,36493867,23.3510343563,23.4212067525,23.0633275321,23.0867183308,145975468,0.0,1.0
AAPL,2016-07-19 00:00:00+00:00,99.87,100.0,99.34,99.56,23779924,23.3603906758,23.3907987141,23.2364194426,23.2878791998,95119696,0.0,1.0
AAPL,2016-07-20 00:00:00+00:00,99.96,100.46,99.735,100.0,26275968,23.3814423946,23.4983963882,23.3288130975,23.3907987141,105103872,0.0,1.0
AAPL,2016-07-21 00:00:00+00:00,99.43,101.0,99.13,99.83,32702028,23.2574711615,23.6247067013,23.1872987653,23.3510343563,130808112,0.0,1.0
AAPL,2016-07-22 00:00:00+00:00,98.66,99.3,98.31,99.26,28313669,23.0773620114,23.2270631231,22.9954942159,23.2177068036,113254676,0.0,1.0
AAPL,2016-07-25 00:00:00+00:00,97.34,98.84,96.92,98.25,40382921,22.7686034683,23.119465449,22.6703621137,22.9814597366,161531684,0.0,1.0
AAPL,2016-07-26 00:00:00+00:00,96.67,97.97,96.42,96.82,56239822,22.611885117,22.9159655002,22.5534081202,22.646971315,224959288,0.0,1.0
AAPL,2016-07-27 00:00:00+00:00,102.95,104.35,102.75,104.265,92344820,24.0808272762,24.4082984582,24.0340456788,24.3884162793,369379280,0.0,1.0
AAPL,2016-07-28 00:00:00+00:00,104.34,104.45,102.82,102.83,39869839,24.4059593783,24.4316892569,24.0504192379,24.0527583177,159479356,0.0,1.0
AAPL,2016-07-29 00:00:00+00:00,104.21,104.55,103.68,104.19,27733688,24.37555134,24.4550800556,24.2515801068,24.3708731803,110934752,0.0,1.0
AAPL,2016-08-01 00:00:00+00:00,106.05,106.15,104.41,104.41,38167871,24.8059420363,24.8293328351,24.4223329374,24.4223329374,152671484,0.0,1.0
AAPL,2016-08-02 00:00:00+00:00,104.48,106.07,104.0,106.05,33816556,24.4387064965,24.8106201961,24.3264306627,24.8059420363,135266224,0.0,1.0
AAPL,2016-08-03 00:00:00+00:00,105.79,105.84,104.77,104.81,30202641,24.7451259597,24.756821359,24.5065398128,24.5158961323,120810564,0.0,1.0
AAPL,2016-08-04 00:00:00+00:00,105.87,106.0,105.28,105.58,27408650,24.8971661513,24.9277379054,24.7584174215,24.8289676231,109634600,0.57,1.0
AAPL,2016-08-05 00:00:00+00:00,107.48,107.65,106.18,106.27,40553402,25.2757855667,25.3157640143,24.9700680263,24.9912330868,162213608,0.0,1.0
AAPL,2016-08-08 00:00:00+00:00,108.37,108.37,107.16,107.52,28037220,25.4850844981,25.4850844981,25.2005320183,25.2851922602,112148880,0.0,1.0
AAPL,2016-08-09 00:00:00+00:00,108.81,108.94,108.01,108.23,26315204,25.5885581272,25.6191298812,25.4004242562,25.4521610707,105260816,0.0,1.0
AAPL,2016-08-10 00:00:00+00:00,108.0,108.9,107.76,108.71,24008505,25.3980725828,25.6097231877,25.3416324215,25.5650413933,96034020,0.0,1.0
